interventionDuration,resolution,timeIntervalUntilReIntervention,timezone,timestamp,app,interventionType,isReIntervention,purpose
6.0,openedApp,2700.0,Europe/Kiev,1753654583.314142,youtube,askForTimeLimit,False,
6.0,openedApp,1020.0,Europe/Kiev,1753656023.26096,youtube,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753657379.581599,telegram,askForTimeLimit,False,
6.0,openedApp,1800.0,Europe/Kiev,1753657464.2189941,telegram,breathingExercise,True,Message
6.0,openedApp,360.0,Europe/Kiev,1753658434.927237,youtube,askForTimeLimit,False,
6.0,openedApp,480.0,Europe/Kiev,1753658728.8397489,telegram,askForTimeLimit,False,
6.0,openedApp,1800.0,Europe/Kiev,1753659249.050613,telegram,breathingExercise,True,Message
6.0,openedApp,1800.0,Europe/Kiev,1753661073.121488,telegram,breathingExercise,True,Message
6.0,openedApp,1800.0,Europe/Kiev,1753661451.635808,telegram,askForTimeLimit,False,
6.0,openedApp,720.0,Europe/Kiev,1753662056.5787039,telegram,askForTimeLimit,False,
6.0,openedApp,1680.0,Europe/Kiev,1753662510.088725,telegram,askForTimeLimit,False,
6.0,openedApp,840.0,Europe/Kiev,1753663058.873765,telegram,askForTimeLimit,False,
6.0,dismissedAppOpening,,Europe/Kiev,1753663662.330699,telegram,askForTimeLimit,False,
6.0,dismissedAppOpening,,Europe/Kiev,1753663674.214767,telegram,askForTimeLimit,False,
6.0,openedApp,1800.0,Europe/Kiev,1753663680.5158548,telegram,askForTimeLimit,False,
6.0,openedApp,1320.0,Europe/Kiev,1753664387.5724769,telegram,askForTimeLimit,False,
6.0,openedApp,1140.0,Europe/Kiev,1753665204.143046,telegram,askForTimeLimit,False,
6.0,openedApp,1140.0,Europe/Kiev,1753665338.026449,telegram,askForTimeLimit,False,
6.0,openedApp,900.0,Europe/Kiev,1753665497.445496,telegram,askForTimeLimit,False,
6.0,openedApp,2700.0,Europe/Kiev,1753666103.7992082,youtube,askForTimeLimit,False,
6.0,openedApp,2700.0,Europe/Kiev,1753666159.759256,youtube,askForTimeLimit,False,
6.0,dismissedAppOpening,,Europe/Kiev,1753667636.020108,youtube,askForTimeLimit,False,
6.0,openedApp,2700.0,Europe/Kiev,1753667643.472085,youtube,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753678319.976334,telegram,askForTimeLimit,False,
6.0,openedApp,1800.0,Europe/Kiev,1753678409.331581,telegram,breathingExercise,False,Message
6.0,openedApp,1800.0,Europe/Kiev,1753678455.8479118,telegram,askForTimeLimit,False,
6.0,openedApp,1440.0,Europe/Kiev,1753679053.526243,youtube,askForTimeLimit,False,
6.0,openedApp,1140.0,Europe/Kiev,1753679261.811975,telegram,askForTimeLimit,False,
6.0,openedApp,1020.0,Europe/Kiev,1753679439.586752,telegram,askForTimeLimit,False,
6.0,openedApp,240.0,Europe/Kiev,1753679461.5861611,telegram,askForTimeLimit,False,
6.0,dismissedAppOpening,,Europe/Kiev,1753680414.655695,telegram,breathingExercise,False,
6.0,openedApp,1800.0,Europe/Kiev,1753681684.721894,telegram,askForTimeLimit,False,
6.0,openedApp,120.0,Europe/Kiev,1753681881.1948771,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753681963.191994,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753682132.565827,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753682240.322129,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753682310.435135,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753682413.844685,telegram,askForTimeLimit,False,
6.0,dismissedAppOpening,,Europe/Kiev,1753682466.9352021,telegram,askForTimeLimit,False,
6.0,openedApp,420.0,Europe/Kiev,1753682472.1568289,youtube,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753682743.002913,telegram,askForTimeLimit,False,
6.0,dismissedAppOpening,,Europe/Kiev,1753682768.839438,telegram,askForTimeLimit,False,
