resolution,timezone,timestamp,interventionType,isReIntervention,interventionDuration,app
dismissedAppOpening,America/Mexico_City,1751148196.9948611,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751148342.2675838,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751150148.0509238,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751160480.290605,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1751164915.614584,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751166294.8386679,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751167984.828665,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751185271.630033,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751213301.767417,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751215675.4106212,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751222276.450052,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751223545.176937,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751226466.701592,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1751236059.483469,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1751236119.354816,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751236137.501275,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1751240468.914948,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751242066.730319,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751247679.766139,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751248253.5389419,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751249513.12448,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751252554.458819,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751253543.242899,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751253942.285108,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1751264349.627565,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751264370.076754,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1751264824.784597,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751266045.479947,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751268610.2007551,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751293061.059392,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751297024.147972,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751304017.4330301,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751308476.4086041,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751309171.9233608,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751309172.5540838,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751309173.567703,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751309177.626133,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1751313641.386967,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751322552.095222,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751324037.066086,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751326225.977411,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751339908.924967,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751344737.493684,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751346745.1390061,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751348277.120774,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751351806.61279,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751385238.213196,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751393719.2334208,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751396984.7879,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751410070.034884,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1751411300.5249062,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751420837.595937,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1751421659.8958712,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751426043.822523,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751478096.246556,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751482413.054071,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751489679.894356,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1751567418.702014,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751567678.556775,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1751569333.122191,breathingExercise,False,6,instagram
