resolution,interventionDuration,interventionType,timestamp,timezone,timeIntervalUntilReIntervention,app,isReIntervention
openedApp,6.0,askForTimeLimit,1752247818.8231459,America/Sao_Paulo,1140.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752248777.7654982,America/Sao_Paulo,300.0,instagram,False
openedApp,6.0,askForTimeLimit,1752251998.711059,America/Sao_Paulo,240.0,instagram,False
openedApp,6.0,askForTimeLimit,1752252663.92949,America/Sao_Paulo,180.0,instagram,False
openedApp,6.0,askForTimeLimit,1752252961.853724,America/Sao_Paulo,300.0,instagram,False
openedApp,6.0,askForTimeLimit,1752253556.0189152,America/Sao_Paulo,360.0,instagram,False
openedApp,6.0,askForTimeLimit,1752253729.0613031,America/Sao_Paulo,1260.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752253870.156754,America/Sao_Paulo,900.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752255662.0174851,America/Sao_Paulo,300.0,instagram,False
openedApp,6.0,askForTimeLimit,1752256418.8802838,America/Sao_Paulo,240.0,instagram,False
openedApp,6.0,askForTimeLimit,1752264316.794946,America/Sao_Paulo,300.0,instagram,False
openedApp,6.0,askForTimeLimit,1752264461.7978082,America/Sao_Paulo,240.0,instagram,False
openedApp,6.0,askForTimeLimit,1752264538.220217,America/Sao_Paulo,1260.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752266756.58113,America/Sao_Paulo,1560.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752268038.013904,America/Sao_Paulo,360.0,instagram,False
openedApp,6.0,askForTimeLimit,1752268288.148201,America/Sao_Paulo,1440.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752268433.086617,America/Sao_Paulo,300.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752268557.36734,America/Sao_Paulo,540.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752269398.082062,America/Sao_Paulo,300.0,instagram,False
openedApp,6.0,askForTimeLimit,1752269431.400581,America/Sao_Paulo,1500.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752270231.674741,America/Sao_Paulo,840.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752270626.38573,America/Sao_Paulo,840.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752270956.998005,America/Sao_Paulo,300.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752271342.087175,America/Sao_Paulo,300.0,instagram,False
openedApp,6.0,askForTimeLimit,1752271596.962667,America/Sao_Paulo,300.0,instagram,False
openedApp,6.0,askForTimeLimit,1752274466.446378,America/Sao_Paulo,300.0,instagram,False
openedApp,6.0,askForTimeLimit,1752274491.526439,America/Sao_Paulo,1380.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752276117.3749099,America/Sao_Paulo,1500.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752277118.586838,America/Sao_Paulo,1080.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752277261.5683389,America/Sao_Paulo,1080.0,tikTok,False
