resolution,timezone,timestamp,interventionType,timeIntervalUntilReIntervention,isReIntervention,interventionDuration,app,purpose
dismissedAppOpening,Europe/Berlin,1752229468.832594,askForTimeLimit,,False,6,instagram,
dismissedAppOpening,Europe/Berlin,1752229472.4626021,askForTimeLimit,,False,6,instagram,
openedApp,Europe/Berlin,1752229644.988658,askForTimeLimit,480.0,False,6,instagram,
openedApp,Europe/Berlin,1752231041.468991,askForTimeLimit,780.0,False,6,tikTok,
openedApp,Europe/Berlin,1752232425.8517241,askForTimeLimit,780.0,False,6,tikTok,
openedApp,Europe/Berlin,1752232617.186781,askForTimeLimit,1440.0,False,6,tikTok,
openedApp,Europe/Berlin,1752234747.2078109,askForTimeLimit,600.0,False,6,instagram,
openedApp,Europe/Berlin,1752234949.678261,askForTimeLimit,480.0,False,6,instagram,
openedApp,Europe/Berlin,1752240322.144783,askForTimeLimit,600.0,False,6,instagram,
openedApp,Europe/Berlin,1752240726.672217,askForTimeLimit,600.0,False,6,instagram,
openedApp,Europe/Berlin,1752244196.293542,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1752244382.785214,askForTimeLimit,420.0,False,6,instagram,
openedApp,Europe/Berlin,1752244547.949727,askForTimeLimit,480.0,False,6,tikTok,
openedApp,Europe/Berlin,1752244762.985036,askForTimeLimit,540.0,False,6,tikTok,
openedApp,Europe/Berlin,1752244966.877759,askForTimeLimit,540.0,False,6,tikTok,
openedApp,Europe/Berlin,1752245236.51424,askForTimeLimit,360.0,False,6,tikTok,
openedApp,Europe/Berlin,1752245418.5977159,askForTimeLimit,420.0,False,6,instagram,
openedApp,Europe/Berlin,1752245776.9724689,askForTimeLimit,420.0,False,6,instagram,
openedApp,Europe/Berlin,1752253111.855896,askForTimeLimit,600.0,False,6,tikTok,
openedApp,Europe/Berlin,1752255650.101651,askForTimeLimit,1080.0,False,6,tikTok,
openedApp,Europe/Berlin,1752256760.453053,breathingExercise,420.0,False,6,tikTok,bbrrrr
dismissedAppOpening,Europe/Berlin,1752257105.66402,askForTimeLimit,,False,6,tikTok,
