isReIntervention,timestamp,interventionType,app,resolution,interventionDuration,timezone,purpose
False,1753395243.639206,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753395245.133806,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753396901.4471989,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753399395.184195,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753405112.4669309,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1753406268.6650062,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753407281.3971028,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753412797.147414,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1753412964.420361,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753413194.32343,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753415398.3866758,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753415402.882598,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753415699.4274201,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753416682.7433739,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1753417751.762104,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753420013.0242271,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753420057.234851,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753420441.706146,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753420844.445331,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753421712.8637471,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753421808.0589828,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753422446.538972,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753422449.7092981,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753447536.486608,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753449495.905212,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753450787.39462,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753450828.313376,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753450829.935415,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753451358.990097,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753451630.5383,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753451655.881871,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753451657.489387,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753451674.889371,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753451676.348464,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753453878.240885,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753455020.062216,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753461144.33573,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
