interventionDuration,timestamp,timezone,app,resolution,isReIntervention,interventionType
3,1753597844.810178,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753597854.990371,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753601367.214295,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753607984.370784,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753616283.4851851,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753616446.4162889,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753616574.380069,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753618073.657228,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753618184.789115,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753618186.405562,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753618188.049241,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753618189.665591,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753618191.289682,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753618192.756866,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753618194.358904,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753618195.918185,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753618197.513554,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753622118.517524,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753623402.3411489,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753628428.192449,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753630493.840054,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753632637.113672,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753633639.170356,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753633641.416945,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753636003.0382972,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753636011.232327,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753639353.40326,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753642287.0859308,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753642288.6273289,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753642290.129502,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
