timestamp,app,timezone,isReIntervention,resolution,interventionType,interventionDuration,purpose,timeIntervalUntilReIntervention
1749757018.0801148,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,1080.0
1749758104.057778,tikTok,America/Los_Angeles,False,closedApp,,,,
1749758151.079181,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,300.0
1749762703.087497,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,780.0
1749763488.928738,tikTok,America/Los_Angeles,False,closedApp,,,,
1749763538.1070008,facebook,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,
1749763983.8782248,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,1800.0
1749764584.404035,tikTok,America/Los_Angeles,False,closedApp,,,,
1749764988.749152,tikTok,America/Los_Angeles,False,closedApp,,,,
1749770029.531138,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Escape / Avoid,1800.0
1749770657.7181401,tikTok,America/Los_Angeles,False,closedApp,,,,
1749770701.916995,tikTok,America/Los_Angeles,False,closedApp,,,,
1749775507.993966,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,300.0
1749775602.104392,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,480.0
1749775916.999654,tikTok,America/Los_Angeles,False,closedApp,,,,
1749777300.870677,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749786763.652169,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,360.0
1749787364.615952,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,540.0
1749787423.202598,tikTok,America/Los_Angeles,False,closedApp,,,,
1749789435.9687161,facebook,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,
1749790173.550103,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,240.0
1749794414.747627,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,300.0
1749823272.433094,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749828711.748724,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,1020.0
1749829384.601141,tikTok,America/Los_Angeles,False,closedApp,,,,
1749829738.0401511,tikTok,America/Los_Angeles,False,closedApp,,,,
1749830342.956804,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,300.0
1749831304.079184,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,600.0
1749831363.984824,tikTok,America/Los_Angeles,False,closedApp,,,,
1749841237.5239182,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,300.0
1749841991.8529592,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749841992.697959,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749846573.9647322,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Escape / Avoid,300.0
1749848723.329489,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,1140.0
1749849112.7287989,tikTok,America/Los_Angeles,False,closedApp,,,,
1749849413.42101,tikTok,America/Los_Angeles,False,closedApp,,,,
1749849438.563894,facebook,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Bored,
1749850614.5973902,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,600.0
