isReIntervention,timezone,timestamp,interventionDuration,interventionType,app,resolution,timeIntervalUntilReIntervention,purpose
False,Europe/Madrid,1753054968.788095,,,instagram,closedApp,,
True,Europe/Madrid,1753054974.774786,1.5,breathingExercise,instagram,openedApp,300.0,
False,Europe/Madrid,1753055270.1287742,,,instagram,closedApp,,
True,Europe/Madrid,1753055276.9506779,1.5,breathingExercise,instagram,openedApp,360.0,
False,Europe/Madrid,1753055639.988027,,,instagram,closedApp,,
True,Europe/Madrid,1753055645.413403,1.5,breathingExercise,instagram,openedApp,360.0,
False,Europe/Madrid,1753056008.900898,,,instagram,closedApp,,
True,Europe/Madrid,1753056014.836911,1.5,breathingExercise,instagram,openedApp,240.0,
False,Europe/Madrid,1753056254.504263,,,instagram,closedApp,,
True,Europe/Madrid,1753056260.6395679,1.5,breathingExercise,instagram,openedApp,300.0,
